Page,Sequence,DefaultImage,RorV,Label
urn:cite:bsb:cg427.22v,51,urn:cite:bsb:muncg427img.MunCG427_img51,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 22,verso"
urn:cite:bsb:cg427.23r,52,urn:cite:bsb:muncg427img.MunCG427_img52,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 23,recto"
urn:cite:bsb:cg427.23v,53,urn:cite:bsb:muncg427img.MunCG427_img53,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 23,verso"
urn:cite:bsb:cg427.24r,54,urn:cite:bsb:muncg427img.MunCG427_img54,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 24,recto"
urn:cite:bsb:cg427.24v,55,urn:cite:bsb:muncg427img.MunCG427_img55,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 24,verso"
urn:cite:bsb:cg427.25r,56,urn:cite:bsb:muncg427img.MunCG427_img56,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 25,recto"
urn:cite:bsb:cg427.25v,57,urn:cite:bsb:muncg427img.MunCG427_img57,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 25,verso"
urn:cite:bsb:cg427.26r,58,urn:cite:bsb:muncg427img.MunCG427_img58,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 26,recto"
,,urn:cite:bsb:muncg427img.MunCG427_img59,,
urn:cite:bsb:cg427.27r,60,urn:cite:bsb:muncg427img.MunCG427_img60,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 27,recto"
urn:cite:bsb:cg427.27v,61,urn:cite:bsb:muncg427img.MunCG427_img61,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 27,verso"
urn:cite:bsb:cg427.28r,62,urn:cite:bsb:muncg427img.MunCG427_img62,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 28,recto"
urn:cite:bsb:cg427.28v,63,urn:cite:bsb:muncg427img.MunCG427_img63,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 28,verso"
urn:cite:bsb:cg427.29r,64,urn:cite:bsb:muncg427img.MunCG427_img64,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 29,recto"
