Page,Sequence,DefaultImage,RorV,Label
,,urn:cite:bsb:muncg427img.MunCG427_img278,,
,,urn:cite:bsb:muncg427img.MunCG427_img279,,
,,urn:cite:bsb:muncg427img.MunCG427_img280,,
,,urn:cite:bsb:muncg427img.MunCG427_img281,,
,,urn:cite:bsb:muncg427img.MunCG427_img282,,
,,urn:cite:bsb:muncg427img.MunCG427_img283,,
,,urn:cite:bsb:muncg427img.MunCG427_img284,,
,,urn:cite:bsb:muncg427img.MunCG427_img285,,
,,urn:cite:bsb:muncg427img.MunCG427_img286,,
,,urn:cite:bsb:muncg427img.MunCG427_img287,,
,,urn:cite:bsb:muncg427img.MunCG427_img288,,
,,urn:cite:bsb:muncg427img.MunCG427_img289,,
,,urn:cite:bsb:muncg427img.MunCG427_img290,,
,,urn:cite:bsb:muncg427img.MunCG427_img291,,
,,urn:cite:bsb:muncg427img.MunCG427_img292,,
,,urn:cite:bsb:muncg427img.MunCG427_img293,,
,,urn:cite:bsb:muncg427img.MunCG427_img294,,
,,urn:cite:bsb:muncg427img.MunCG427_img295,,
,,urn:cite:bsb:muncg427img.MunCG427_img296,,
,,urn:cite:bsb:muncg427img.MunCG427_img297,,
,,urn:cite:bsb:muncg427img.MunCG427_img298,,
,,urn:cite:bsb:muncg427img.MunCG427_img299,,
,,urn:cite:bsb:muncg427img.MunCG427_img300,,
,,urn:cite:bsb:muncg427img.MunCG427_img301,,
urn:cite:bsb:cg427.146r,302,urn:cite:bsb:muncg427img.MunCG427_img302,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 146 , recto"
,,urn:cite:bsb:muncg427img.MunCG427_img303,,
,,urn:cite:bsb:muncg427img.MunCG427_img304,,
,,urn:cite:bsb:muncg427img.MunCG427_img305,,
,,urn:cite:bsb:muncg427img.MunCG427_img306,,
,,urn:cite:bsb:muncg427img.MunCG427_img307,,
,,urn:cite:bsb:muncg427img.MunCG427_img308,,
,,urn:cite:bsb:muncg427img.MunCG427_img309,,
urn:cite:bsb:cg427.150r,310,urn:cite:bsb:muncg427img.MunCG427_img310,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 150, recto"
urn:cite:bsb:cg427.150v,311,urn:cite:bsb:muncg427img.MunCG427_img311,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 150, verso"
urn:cite:bsb:cg427.151r,312,urn:cite:bsb:muncg427img.MunCG427_img312,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 151, recto"
urn:cite:bsb:cg427.151v,313,urn:cite:bsb:muncg427img.MunCG427_img312,verso,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 151, verso"
urn:cite:bsb:cg427.152r,314,urn:cite:bsb:muncg427img.MunCG427_img314,recto,"Bayerische Staatsbibliothek, Codex Graecus 427, folio 152, recto"
,,urn:cite:bsb:muncg427img.MunCG427_img315,,
,,urn:cite:bsb:muncg427img.MunCG427_img316,,
,,urn:cite:bsb:muncg427img.MunCG427_img317,,
,,urn:cite:bsb:muncg427img.MunCG427_img318,,
,,urn:cite:bsb:muncg427img.MunCG427_img319,,
,,urn:cite:bsb:muncg427img.MunCG427_img320,,
,,urn:cite:bsb:muncg427img.MunCG427_img321,,
,,urn:cite:bsb:muncg427img.MunCG427_img322,,
,,urn:cite:bsb:muncg427img.MunCG427_img323,,
,,urn:cite:bsb:muncg427img.MunCG427_img324,,
,,urn:cite:bsb:muncg427img.MunCG427_img325,,
,,urn:cite:bsb:muncg427img.MunCG427_img326,,
,,urn:cite:bsb:muncg427img.MunCG427_img327,,
,,urn:cite:bsb:muncg427img.MunCG427_img328,,
,,urn:cite:bsb:muncg427img.MunCG427_img329,,
,,urn:cite:bsb:muncg427img.MunCG427_img330,,
,,urn:cite:bsb:muncg427img.MunCG427_img331,,
,,urn:cite:bsb:muncg427img.MunCG427_img332,,
,,urn:cite:bsb:muncg427img.MunCG427_img333,,
,,urn:cite:bsb:muncg427img.MunCG427_img334,,
,,urn:cite:bsb:muncg427img.MunCG427_img335,,
,,urn:cite:bsb:muncg427img.MunCG427_img336,,
,,urn:cite:bsb:muncg427img.MunCG427_img337,,
,,urn:cite:bsb:muncg427img.MunCG427_img338,,
,,urn:cite:bsb:muncg427img.MunCG427_img339,,
,,urn:cite:bsb:muncg427img.MunCG427_img340,,
,,urn:cite:bsb:muncg427img.MunCG427_img341,,
,,urn:cite:bsb:muncg427img.MunCG427_img342,,
,,urn:cite:bsb:muncg427img.MunCG427_img343,,
,,urn:cite:bsb:muncg427img.MunCG427_img344,,
,,urn:cite:bsb:muncg427img.MunCG427_img345,,
,,urn:cite:bsb:muncg427img.MunCG427_img346,,
,,urn:cite:bsb:muncg427img.MunCG427_img347,,
,,urn:cite:bsb:muncg427img.MunCG427_img348,,
,,urn:cite:bsb:muncg427img.MunCG427_img349,,
,,urn:cite:bsb:muncg427img.MunCG427_img350,,
,,urn:cite:bsb:muncg427img.MunCG427_img351,,
,,urn:cite:bsb:muncg427img.MunCG427_img352,,
,,urn:cite:bsb:muncg427img.MunCG427_img353,,
,,urn:cite:bsb:muncg427img.MunCG427_img354,,
,,urn:cite:bsb:muncg427img.MunCG427_img355,,
,,urn:cite:bsb:muncg427img.MunCG427_img356,,
,,urn:cite:bsb:muncg427img.MunCG427_img357,,
,,urn:cite:bsb:muncg427img.MunCG427_img358,,
,,urn:cite:bsb:muncg427img.MunCG427_img359,,
,,urn:cite:bsb:muncg427img.MunCG427_img360,,
,,urn:cite:bsb:muncg427img.MunCG427_img361,,
,,urn:cite:bsb:muncg427img.MunCG427_img362,,
,,urn:cite:bsb:muncg427img.MunCG427_img363,,
,,urn:cite:bsb:muncg427img.MunCG427_img364,,
,,urn:cite:bsb:muncg427img.MunCG427_img365,,
,,urn:cite:bsb:muncg427img.MunCG427_img366,,
,,urn:cite:bsb:muncg427img.MunCG427_img367,,
,,urn:cite:bsb:muncg427img.MunCG427_img368,,
,,urn:cite:bsb:muncg427img.MunCG427_img369,,
,,urn:cite:bsb:muncg427img.MunCG427_img370,,
,,urn:cite:bsb:muncg427img.MunCG427_img371,,
,,urn:cite:bsb:muncg427img.MunCG427_img372,,
,,urn:cite:bsb:muncg427img.MunCG427_img373,,
,,urn:cite:bsb:muncg427img.MunCG427_img374,,
,,urn:cite:bsb:muncg427img.MunCG427_img375,,
,,urn:cite:bsb:muncg427img.MunCG427_img376,,
,,urn:cite:bsb:muncg427img.MunCG427_img377,,
,,urn:cite:bsb:muncg427img.MunCG427_img378,,
,,urn:cite:bsb:muncg427img.MunCG427_img379,,
,,urn:cite:bsb:muncg427img.MunCG427_img380,,
,,urn:cite:bsb:muncg427img.MunCG427_img381,,
,,urn:cite:bsb:muncg427img.MunCG427_img382,,
,,urn:cite:bsb:muncg427img.MunCG427_img383,,
,,urn:cite:bsb:muncg427img.MunCG427_img384,,
,,urn:cite:bsb:muncg427img.MunCG427_img385,,
,,urn:cite:bsb:muncg427img.MunCG427_img386,,
,,urn:cite:bsb:muncg427img.MunCG427_img387,,
,,urn:cite:bsb:muncg427img.MunCG427_img388,,
,,urn:cite:bsb:muncg427img.MunCG427_img389,,
,,urn:cite:bsb:muncg427img.MunCG427_img390,,
,,urn:cite:bsb:muncg427img.MunCG427_img391,,
,,urn:cite:bsb:muncg427img.MunCG427_img392,,
,,urn:cite:bsb:muncg427img.MunCG427_img393,,
,,urn:cite:bsb:muncg427img.MunCG427_img394,,
,,urn:cite:bsb:muncg427img.MunCG427_img395,,
,,urn:cite:bsb:muncg427img.MunCG427_img396,,
,,urn:cite:bsb:muncg427img.MunCG427_img397,,
,,urn:cite:bsb:muncg427img.MunCG427_img398,,
,,urn:cite:bsb:muncg427img.MunCG427_img399,,
,,urn:cite:bsb:muncg427img.MunCG427_img400,,
,,urn:cite:bsb:muncg427img.MunCG427_img401,,
,,urn:cite:bsb:muncg427img.MunCG427_img402,,
,,urn:cite:bsb:muncg427img.MunCG427_img403,,
,,urn:cite:bsb:muncg427img.MunCG427_img404,,
,,urn:cite:bsb:muncg427img.MunCG427_img405,,
,,urn:cite:bsb:muncg427img.MunCG427_img406,,
,,urn:cite:bsb:muncg427img.MunCG427_img407,,
,,urn:cite:bsb:muncg427img.MunCG427_img408,,
,,urn:cite:bsb:muncg427img.MunCG427_img409,,
,,urn:cite:bsb:muncg427img.MunCG427_img410,,
,,urn:cite:bsb:muncg427img.MunCG427_img411,,
,,urn:cite:bsb:muncg427img.MunCG427_img412,,
,,urn:cite:bsb:muncg427img.MunCG427_img413,,
,,urn:cite:bsb:muncg427img.MunCG427_img414,,
,,urn:cite:bsb:muncg427img.MunCG427_img415,,
,,urn:cite:bsb:muncg427img.MunCG427_img416,,
,,urn:cite:bsb:muncg427img.MunCG427_img417,,
,,urn:cite:bsb:muncg427img.MunCG427_img418,,
,,urn:cite:bsb:muncg427img.MunCG427_img419,,
,,urn:cite:bsb:muncg427img.MunCG427_img420,,
,,urn:cite:bsb:muncg427img.MunCG427_img421,,
,,urn:cite:bsb:muncg427img.MunCG427_img422,,
,,urn:cite:bsb:muncg427img.MunCG427_img423,,
,,urn:cite:bsb:muncg427img.MunCG427_img424,,
,,urn:cite:bsb:muncg427img.MunCG427_img425,,
,,urn:cite:bsb:muncg427img.MunCG427_img426,,
,,urn:cite:bsb:muncg427img.MunCG427_img427,,
,,urn:cite:bsb:muncg427img.MunCG427_img428,,
,,urn:cite:bsb:muncg427img.MunCG427_img429,,
,,urn:cite:bsb:muncg427img.MunCG427_img430,,
,,urn:cite:bsb:muncg427img.MunCG427_img431,,
,,urn:cite:bsb:muncg427img.MunCG427_img432,,
,,urn:cite:bsb:muncg427img.MunCG427_img433,,
,,urn:cite:bsb:muncg427img.MunCG427_img434,,
,,urn:cite:bsb:muncg427img.MunCG427_img435,,
,,urn:cite:bsb:muncg427img.MunCG427_img436,,
,,urn:cite:bsb:muncg427img.MunCG427_img437,,
,,urn:cite:bsb:muncg427img.MunCG427_img438,,
,,urn:cite:bsb:muncg427img.MunCG427_img439,,
,,urn:cite:bsb:muncg427img.MunCG427_img440,,
,,urn:cite:bsb:muncg427img.MunCG427_img441,,
,,urn:cite:bsb:muncg427img.MunCG427_img442,,
,,urn:cite:bsb:muncg427img.MunCG427_img443,,
,,urn:cite:bsb:muncg427img.MunCG427_img444,,
,,urn:cite:bsb:muncg427img.MunCG427_img445,,
,,urn:cite:bsb:muncg427img.MunCG427_img446,,
,,urn:cite:bsb:muncg427img.MunCG427_img447,,
,,urn:cite:bsb:muncg427img.MunCG427_img448,,
,,urn:cite:bsb:muncg427img.MunCG427_img449,,
,,urn:cite:bsb:muncg427img.MunCG427_img450,,
,,urn:cite:bsb:muncg427img.MunCG427_img451,,
,,urn:cite:bsb:muncg427img.MunCG427_img452,,
,,urn:cite:bsb:muncg427img.MunCG427_img453,,
,,urn:cite:bsb:muncg427img.MunCG427_img454,,
,,urn:cite:bsb:muncg427img.MunCG427_img455,,
,,urn:cite:bsb:muncg427img.MunCG427_img456,,
,,urn:cite:bsb:muncg427img.MunCG427_img457,,
,,urn:cite:bsb:muncg427img.MunCG427_img458,,
,,urn:cite:bsb:muncg427img.MunCG427_img459,,
,,urn:cite:bsb:muncg427img.MunCG427_img460,,
,,urn:cite:bsb:muncg427img.MunCG427_img461,,
,,urn:cite:bsb:muncg427img.MunCG427_img462,,
,,urn:cite:bsb:muncg427img.MunCG427_img463,,
,,urn:cite:bsb:muncg427img.MunCG427_img464,,
,,urn:cite:bsb:muncg427img.MunCG427_img465,,
,,urn:cite:bsb:muncg427img.MunCG427_img466,,
,,urn:cite:bsb:muncg427img.MunCG427_img467,,
,,urn:cite:bsb:muncg427img.MunCG427_img468,,
,,urn:cite:bsb:muncg427img.MunCG427_img469,,
,,urn:cite:bsb:muncg427img.MunCG427_img470,,
,,urn:cite:bsb:muncg427img.MunCG427_img471,,
,,urn:cite:bsb:muncg427img.MunCG427_img472,,
,,urn:cite:bsb:muncg427img.MunCG427_img473,,
,,urn:cite:bsb:muncg427img.MunCG427_img474,,
,,urn:cite:bsb:muncg427img.MunCG427_img475,,
,,urn:cite:bsb:muncg427img.MunCG427_img476,,
,,urn:cite:bsb:muncg427img.MunCG427_img477,,
,,urn:cite:bsb:muncg427img.MunCG427_img478,,
,,urn:cite:bsb:muncg427img.MunCG427_img479,,
,,urn:cite:bsb:muncg427img.MunCG427_img480,,
,,urn:cite:bsb:muncg427img.MunCG427_img481,,
,,urn:cite:bsb:muncg427img.MunCG427_img482,,
,,urn:cite:bsb:muncg427img.MunCG427_img483,,
,,urn:cite:bsb:muncg427img.MunCG427_img484,,
,,urn:cite:bsb:muncg427img.MunCG427_img485,,
,,urn:cite:bsb:muncg427img.MunCG427_img486,,
,,urn:cite:bsb:muncg427img.MunCG427_img487,,
,,urn:cite:bsb:muncg427img.MunCG427_img488,,
,,urn:cite:bsb:muncg427img.MunCG427_img489,,
,,urn:cite:bsb:muncg427img.MunCG427_img490,,
,,urn:cite:bsb:muncg427img.MunCG427_img491,,
,,urn:cite:bsb:muncg427img.MunCG427_img492,,
,,urn:cite:bsb:muncg427img.MunCG427_img493,,
,,urn:cite:bsb:muncg427img.MunCG427_img494,,
,,urn:cite:bsb:muncg427img.MunCG427_img495,,
,,urn:cite:bsb:muncg427img.MunCG427_img496,,
,,urn:cite:bsb:muncg427img.MunCG427_img497,,
,,urn:cite:bsb:muncg427img.MunCG427_img498,,
,,urn:cite:bsb:muncg427img.MunCG427_img499,,
,,urn:cite:bsb:muncg427img.MunCG427_img500,,
,,urn:cite:bsb:muncg427img.MunCG427_img501,,
,,urn:cite:bsb:muncg427img.MunCG427_img502,,
,,urn:cite:bsb:muncg427img.MunCG427_img503,,
