folioStart,folioEnd,proposition,label
132v,132v,7.propositions.18,18
132v,133v,7.propositions.19,19
133v,134r,7.propositions.20,21
134r,134r,7.propositions.unknown,22
134r,134v,7.propositions.21,23
135r,135r,7.propositions.22,24
135r,135v,7.propositions.23,25
135v,136r,7.propositions.24,26
136r,136v,7.propositions.25,27
136v,137r,7.propositions.26,28
137r,137v,7.propositions.27,29
137v,138r,7.propositions.28,30
138r,138r,7.propositions.29,31
138v,139r,7.propositions.30,32
139r,139v,7.propositions.31,33
139v,139v,7.propositions.32,34
139v,140v,7.propositions.33,35
140v,141v,7.propositions.34,36
141v,141v,7.propositions.35,37
142r,142v,7.propositions.36,38
142v,143r,7.propositions.37,39
143r,143r,7.propositions.38,40
143r,143v,7.propositions.39,41
144r,144r,8.propositions.1,1
144r,145v,8.propositions.2,2
145v,146r,8.propositions.3,3
146r,147v,8.propositions.4,4
147v,148r,8.propositions.5,5
148r,148v,8.propositions.6,6
148v,148v,8.propositions.7,7
148v,149v,8.propositions.8,8
149v,150v,8.propositions.9,9
150v,151v,8.propositions.10,10
151v,152r,8.propositions.11,11
152r,153r,8.propositions.12,12
153r,153v,8.propositions.13,13
153v,154r,8.propositions.14,14
154r,154v,8.propositions.15,15
154v,155r,8.propositions.16,16
155r,155r,8.propositions.17,17
155r,156r,8.propositions.18,18
156r,157v,8.propositions.19,19
157v,158r,8.propositions.20,20
158r,159r,8.propositions.21,21
159r,159r,8.propositions.22,22
159r,159r,8.propositions.23,23
159r,159v,8.propositions.24,24
159v,160r,8.propositions.25,25
160r,160r,8.propositions.26,26
160r,160v,8.propositions.27,27
161r,161r,9.propositions.1,1
161r,161v,9.propositions.2,2
161v,162r,9.propositions.3,3
162r,162v,9.propositions.4,4
162v,162v,9.propositions.5,5
162v,163r,9.propositions.6,6
163r,163v,9.propositions.7,7
163v,164r,9.propositions.8,8
164r,164v,9.propositions.9,9
164v,165v,9.propositions.10,10
165v,166r,9.propositions.11,11
166r,167r,9.propositions.12,12
167r,168r,9.propositions.13,13
168r,168v,9.propositions.14,14
168v,169r,9.propositions.15,15
169v,169v,9.propositions.16,16
169v,170r,9.propositions.17,17
170r,170v,9.propositions.18,18
170v,171r,9.propositions.19,19
171r,171v,9.propositions.20,20
171v,171v,9.propositions.21,21
172r,172r,9.propositions.22,22
172r,172r,9.propositions.23,23
172r,172v,9.propositions.24,24
172v,172v,9.propositions.25,25
172v,172v,9.propositions.26,26
